Id,SalePrice
1461,114729.55275192554
1462,155738.7610536239
1463,183173.773354786
1464,197808.36094879181
1465,196177.33435463137
1466,169549.58900715574
1467,177853.46548728598
1468,159061.2579311318
1469,194321.79681858938
1470,116474.13567187432
1471,193923.69264908988
1472,93783.35762348206
1473,91552.70933597116
1474,143728.10423489337
1475,104503.61480517409
1476,368474.7494887678
1477,241372.8849823281
1478,285255.1109968244
1479,289847.13283304195
1480,455256.0492749178
1481,311061.4374047363
1482,213271.82402358693
1483,182897.41800303664
1484,159215.62829611902
1485,191275.24690980552
1486,197706.55630595726
1487,325452.53841439396
1488,230546.6915545403
1489,192286.42518279466
1490,242281.07656970175
1491,198278.8375883369
1492,94029.91687190815
1493,182758.84148576373
1494,295090.56186565396
1495,286548.0082957543
1496,237128.7385735726
1497,177116.00912114576
1498,162463.26986117408
1499,157457.3246693857
1500,153881.44715835556
1501,175081.01554643293
1502,142062.18977977207
1503,287328.75748785917
1504,239511.67574069207
1505,226591.52673375123
1506,188214.83454492848
1507,247376.53632288837
1508,199196.4037093895
1509,159827.74909647426
1510,142110.4555191665
1511,149094.72585404912
1512,176519.8890902511
1513,135481.44970912597
1514,154794.77622203107
1515,203933.86067416047
1516,156984.19294896824
1517,167435.33055061335
1518,131922.51981665715
1519,207997.23764621632
1520,124274.08808879691
1521,130148.89977514865
1522,182118.15461282004
1523,106851.3423432983
1524,128858.31090677361
1525,118766.55704233369
1526,111462.30168062949
1527,102957.4978169416
1528,140693.74990434168
1529,146982.4522400618
1530,179816.13882736117
1531,105946.26834072942
1532,99335.0655468734
1533,150971.60760032057
1534,130634.3623489563
1535,153974.5514924486
1536,108921.80212935108
1537,57651.96807026297
1538,146576.19023752116
1539,183317.59404287822
1540,97944.61091148118
1541,147109.5795890591
1542,144536.20263738994
1543,196229.00589258247
1544,92017.14990317191
1545,115112.42269402977
1546,135814.6625804775
1547,135875.1568683355
1548,140245.35988142336
1549,118675.042679422
1550,132693.84261115003
1551,113352.79405641448
1552,129596.1850733914
1553,150731.6443320304
1554,110440.08624006211
1555,159950.33104537072
1556,91275.8673267689
1557,113380.14486702079
1558,103703.57007932529
1559,66601.01030019675
1560,136399.4155933792
1561,133332.39103494576
1562,128974.423290844
1563,115725.39906061091
1564,160025.5014973704
1565,150517.7334855442
1566,244237.43610021638
1567,79751.01569522821
1568,239307.2955241435
1569,125095.98071934549
1570,134867.70832739648
1571,119579.78616437752
1572,145038.04855757594
1573,225259.32204828903
1574,120521.01149229101
1575,229057.93286505484
1576,249373.34320782087
1577,181460.76416891188
1578,146189.9502568985
1579,149874.42847986676
1580,195029.03988449965
1581,160039.63098616604
1582,121931.9242662688
1583,283412.2992475351
1584,217315.30339531714
1585,139296.41919158393
1586,62612.95309815682
1587,98246.28940874714
1588,149060.1614615815
1589,106541.64940132224
1590,138191.88233857686
1591,90231.88519155342
1592,128587.72565435228
1593,122188.89405018173
1594,132747.34059235075
1595,96540.98352805896
1596,230379.7113965261
1597,197779.01793527504
1598,232182.09543260653
1599,162853.03023512557
1600,160829.72970396222
1601,57584.7026522158
1602,108442.75010769257
1603,82802.29587524403
1604,256745.59422770375
1605,238120.01691677677
1606,168232.6857457167
1607,173896.0429825126
1608,222385.3848544594
1609,181614.60702159264
1610,148742.00880422324
1611,141797.0947465036
1612,176261.30996407958
1613,166752.2592696212
1614,122136.87111521076
1615,91986.48472720661
1616,76878.16622866174
1617,91720.37076343063
1618,120623.63221501718
1619,136158.91738453117
1620,135825.87182923013
1621,141575.12913645981
1622,135117.25553033076
1623,247754.86261738275
1624,221641.21149053652
1625,119860.25845316582
1626,172331.57978058804
1627,193216.7896653337
1628,266562.26502874494
1629,172996.12351601047
1630,346534.0231673222
1631,225796.7705782465
1632,247606.4224114323
1633,168276.06318290706
1634,185788.9324975088
1635,175613.78348040688
1636,151597.45765549716
1637,208187.054601426
1638,179576.2506136838
1639,189748.26291246444
1640,254224.24020428886
1641,180052.17219013107
1642,248081.86958156904
1643,211930.65609705355
1644,230863.65984790865
1645,200116.98900352672
1646,158562.1526823905
1647,159383.8091809745
1648,127977.52033690314
1649,143857.15787865815
1650,109904.26699234464
1651,122394.13405711338
1652,95742.02881928407
1653,97995.18472093137
1654,141831.6036460127
1655,130891.78207369863
1656,137434.11978943026
1657,143845.43782729754
1658,143396.26321926713
1659,108556.89910767607
1660,151508.70958102125
1661,433281.29220083164
1662,377288.39113728364
1663,381366.74262237607
1664,468011.07543295674
1665,314612.4999933132
1666,312053.9844901428
1667,373537.6004192302
1668,347233.03008842154
1669,302888.03095009655
1670,349622.2122063296
1671,261976.4226563063
1672,386946.2413968977
1673,281455.26136996376
1674,236131.5839181252
1675,205361.4339181711
1676,202740.03169595785
1677,225948.6029486703
1678,434140.1835598412
1679,364351.9196201733
1680,340704.77954225603
1681,255390.36705150455
1682,295195.9430940137
1683,185141.62637839883
1684,175923.46820318935
1685,177801.0314857542
1686,170891.43991255408
1687,170833.96342723846
1688,193555.73169369553
1689,194840.56028621734
1690,197469.45760507666
1691,186512.4708180018
1692,261395.1797843397
1693,163663.87388559012
1694,180522.97260831468
1695,157605.2117036095
1696,268796.47854524653
1697,162436.12262446934
1698,335732.9188161751
1699,304301.67276570556
1700,254630.2266844897
1701,274474.4819665613
1702,235237.98514770984
1703,235655.89095212583
1704,269384.6073785427
1705,242412.56747844614
1706,404842.45486695936
1707,213033.63171034656
1708,200200.225394052
1709,258151.329224904
1710,221792.27012083432
1711,276269.76869196125
